tags,timestamp,value,is_interpolated
host:2,1618876800000,NaN,False
host:2,1618876801000,NaN,True
host:2,1618876802000,NaN,True
host:2,1618876803000,55.4,False
host:2,1618876804000,77.3,True
host:2,1618876805000,15.6,False
host:2,1618876806000,NaN,True
host:2,1618876807000,NaN,True
host:2,1618876808000,7.58,False
host:4,1618876800000,63.7,False
host:4,1618876801000,45.6,True
host:4,1618876802000,78.4,True
host:4,1618876803000,NaN,False
host:4,1618876804000,NaN,True
host:4,1618876805000,7.18,False
host:4,1618876806000,NaN,True
host:4,1618876807000,NaN,True
host:4,1618876808000,NaN,False
host:5,1618876800000,NaN,False
host:5,1618876801000,75.0,True
host:5,1618876802000,27.3,True
host:5,1618876803000,NaN,False
host:5,1618876804000,44.4,True
host:5,1618876805000,18.6,False
host:5,1618876806000,NaN,True
host:5,1618876807000,NaN,True
host:5,1618876808000,NaN,False
